protocol,start,end,sum
UDP,1900,13123,1307
UDP,1900,34952,1282
UDP,1900,13536,1261
UDP,1900,39065,1260
UDP,1900,35248,1247
UDP,1900,34354,1243
UDP,1900,42265,1226
UDP,1900,64796,1159
UDP,1900,26486,1152
ICMP,0,771,58
ICMP,771,0,10
TCP,40001,80,7
TCP,80,52773,5
TCP,80,21373,4
TCP,80,41782,4
TCP,61619,80,4
TCP,60274,80,4
TCP,80,6717,4
TCP,4486,80,4
TCP,80,35292,3
TCP,80,38976,3
TCP,4055,80,3
TCP,23105,80,3
TCP,80,64679,3
TCP,80,61736,3
TCP,47376,80,3
TCP,65352,80,3
TCP,50904,80,3
TCP,47377,80,3
TCP,56632,80,3
TCP,1451,80,3
UDP,13765,13123,2
UDP,12795,64796,2
UDP,46416,34354,2
TCP,24293,80,2
TCP,32896,80,2
TCP,58828,80,2
TCP,10214,80,2
UDP,54755,13536,2
UDP,62821,13536,2
UDP,23879,34354,2
TCP,49433,80,2
TCP,25593,80,2
TCP,41674,80,2
TCP,5894,80,2
TCP,11621,80,2
TCP,61769,80,2
UDP,35997,13536,2
UDP,23799,13536,2
UDP,53653,42265,2
UDP,3198,42265,2
TCP,3968,80,2
TCP,80,18313,2
TCP,49384,80,2
TCP,80,8848,2
TCP,80,9628,2
TCP,2278,80,2
TCP,35658,80,2
TCP,80,51054,2
TCP,14122,80,2
TCP,57946,80,2
UDP,61970,13123,2
UDP,1200,13536,2
TCP,57371,80,2
TCP,3576,80,2
TCP,2041,80,2
TCP,80,53366,2
UDP,34990,34354,2
TCP,80,22885,2
TCP,2652,80,2
TCP,1545,80,2
TCP,21665,80,2
TCP,80,59692,2
TCP,24292,80,2
TCP,2594,80,2
UDP,47978,35248,2
TCP,15739,80,2
TCP,44533,80,2
TCP,47397,80,2
TCP,48711,80,2
TCP,55121,80,2
TCP,22256,80,2
TCP,54655,80,2
TCP,80,60386,2
TCP,24072,80,2
UDP,43714,34354,2
TCP,49412,80,2
TCP,80,45920,2
UDP,19697,42265,2
TCP,80,6721,2
TCP,80,7793,2
UDP,26650,13536,2
TCP,80,13238,2
UDP,30868,13123,2
TCP,80,6135,2
UDP,24537,64796,2
UDP,38369,26486,2
TCP,80,30649,2
TCP,80,27299,2
TCP,4014,80,2
