protocol,start,end,sum
TCP,43116,80,1
TCP,52353,80,1
TCP,50598,80,1
TCP,63667,80,1
TCP,80,4329,1
TCP,6447,80,1
TCP,11401,80,1
TCP,80,27719,1
TCP,80,46267,1
TCP,7581,80,1
TCP,28163,80,1
TCP,48206,80,1
TCP,37427,80,1
TCP,62808,80,1
TCP,80,35425,1
TCP,80,39456,1
TCP,14280,80,1
TCP,10208,80,1
TCP,20423,80,1
TCP,62738,80,1
TCP,57776,80,1
TCP,27152,80,1
TCP,80,64948,1
TCP,44195,80,1
TCP,80,25372,1
TCP,50838,80,4
TCP,37359,80,2
TCP,26108,80,1
TCP,60239,80,2
TCP,48432,80,1
TCP,18053,80,1
TCP,47306,80,1
TCP,15135,80,1
TCP,80,29187,1
TCP,28429,80,1
TCP,29144,80,2
TCP,80,46480,1
TCP,62211,80,1
TCP,35384,80,1
TCP,4818,80,1
TCP,20456,80,1
TCP,53295,80,1
TCP,26252,80,2
TCP,60053,80,2
TCP,40540,80,1
TCP,7530,80,1
TCP,80,64027,1
TCP,52539,80,1
TCP,56067,80,1
TCP,16297,80,1
TCP,34430,80,1
TCP,80,11351,1
TCP,14564,80,1
TCP,12406,80,1
TCP,13196,80,2
TCP,59659,80,1
TCP,59864,80,1
TCP,62854,80,1
TCP,25455,80,1
TCP,23964,80,1
TCP,31698,80,1
TCP,80,11378,1
TCP,80,51027,1
TCP,80,6289,1
TCP,21820,80,1
TCP,80,45095,1
TCP,80,62101,2
TCP,33057,80,1
TCP,40181,80,1
TCP,80,3857,1
TCP,80,18658,1
TCP,80,33247,1
TCP,62322,80,1
TCP,80,56436,1
TCP,13446,80,2
TCP,5872,80,1
TCP,23329,80,1
TCP,43627,80,1
TCP,54258,80,1
TCP,50478,80,1
TCP,31327,80,2
TCP,6843,80,1
TCP,23646,80,2
UDP,65389,34035,1
TCP,45374,80,1
TCP,49286,80,1
TCP,3588,80,1
TCP,28047,80,1
TCP,61467,80,1
TCP,56379,80,1
TCP,10588,80,1
TCP,57262,80,1
TCP,35359,80,2
TCP,30203,80,1
TCP,49319,80,1
TCP,80,25270,1
TCP,12313,80,1
TCP,80,12177,1
TCP,80,62120,1
TCP,80,39346,1
TCP,80,13513,1
TCP,80,24432,1
TCP,4697,80,1
TCP,28591,80,1
TCP,1471,80,2
TCP,20629,80,1
TCP,27925,80,2
TCP,80,47892,1
TCP,54770,80,1
TCP,64858,80,1
TCP,80,56052,1
TCP,45735,80,1
TCP,14853,80,2
TCP,2852,80,1
TCP,19033,80,1
TCP,80,47667,1
TCP,29874,80,1
TCP,80,26352,1
TCP,17907,80,1
TCP,80,52452,1
TCP,34749,80,1
TCP,80,9475,1
TCP,21528,80,1
UDP,57120,33751,1
TCP,52419,80,2
TCP,80,60558,1
TCP,80,11773,1
TCP,46875,80,1
TCP,56419,80,1
TCP,26099,80,1
TCP,60337,80,2
TCP,49783,80,1
TCP,49146,80,1
TCP,16831,80,1
TCP,47879,80,1
TCP,24522,80,1
TCP,33318,80,1
TCP,3276,80,15
TCP,80,54932,1
TCP,46677,80,1
TCP,80,61062,1
TCP,4652,80,1
TCP,11795,80,2
TCP,80,17979,1
TCP,17012,80,1
TCP,8302,80,2
TCP,80,18644,1
TCP,22406,80,1
TCP,18910,80,1
TCP,772,80,1
TCP,80,50529,1
TCP,63174,80,1
TCP,30661,80,1
TCP,28700,80,1
TCP,80,9940,1
TCP,80,54959,1
TCP,14286,80,1
TCP,25675,80,2
TCP,53305,80,2
TCP,18580,80,1
TCP,60599,80,1
UDP,55613,34035,1
TCP,80,55645,1
TCP,80,20238,1
TCP,80,62545,1
TCP,17593,80,1
TCP,9403,80,1
TCP,27792,80,1
TCP,43083,80,1
TCP,11503,80,1
TCP,36006,80,1
TCP,60851,80,1
TCP,4367,80,1
TCP,57184,80,1
TCP,24068,80,1
TCP,80,32785,1
TCP,21020,80,1
TCP,80,14097,2
TCP,51484,8080,1
TCP,80,6686,1
TCP,27359,80,1
TCP,33102,80,1
TCP,22574,80,1
TCP,80,14356,1
TCP,59105,80,3
TCP,2095,80,1
TCP,47866,80,1
TCP,49211,80,1
TCP,5921,80,2
TCP,19098,80,1
TCP,53514,80,1
TCP,2221,80,1
TCP,80,63827,1
TCP,46088,80,1
TCP,80,9921,1
TCP,80,2874,1
TCP,32900,19121,1
TCP,25712,80,3
TCP,80,29149,1
TCP,80,36721,3
TCP,65058,80,1
TCP,50059,80,1
TCP,80,44778,1
TCP,54013,80,1
TCP,20785,80,1
TCP,27869,80,1
TCP,80,10416,1
TCP,48801,80,1
TCP,80,24230,1
TCP,57666,80,1
TCP,56709,80,1
TCP,47795,80,2
TCP,80,49400,1
TCP,29679,80,2
TCP,40720,80,1
TCP,24885,80,2
TCP,9642,80,1
TCP,80,39314,1
TCP,11535,80,1
