protocol,start,end,sum
TCP,1462,80,1
TCP,2289,80,1
TCP,3411,80,2
TCP,3261,80,1
TCP,30674,80,1
TCP,2753,80,2
TCP,3372,80,1
TCP,50810,80,1
TCP,29412,80,1
TCP,5738,80,1
TCP,35384,80,1
TCP,4818,80,1
TCP,24367,80,1
TCP,16873,80,2
TCP,7530,80,1
TCP,1735,80,2
TCP,59172,80,1
TCP,28881,80,1
TCP,1475,80,2
TCP,16780,80,1
TCP,17131,80,1
TCP,22273,80,1
TCP,2117,80,3
TCP,62306,80,1
TCP,18688,80,1
TCP,58357,80,1
TCP,10174,80,1
TCP,28065,80,1
TCP,14554,80,1
TCP,49900,80,1
TCP,50433,80,2
TCP,23043,80,1
TCP,30187,80,1
TCP,13422,80,1
TCP,1305,80,1
TCP,53322,80,1
TCP,15800,80,1
TCP,16320,80,1
TCP,4309,80,1
TCP,3884,80,2
TCP,30245,80,1
TCP,28715,80,1
TCP,27493,80,1
TCP,62184,80,1
TCP,4864,80,1
TCP,1894,80,2
TCP,30915,80,1
TCP,3869,80,1
TCP,2341,80,2
TCP,2095,80,3
TCP,42795,80,1
TCP,3582,80,1
TCP,26565,80,1
TCP,50703,80,1
TCP,31080,80,1
TCP,31464,80,1
TCP,28338,80,1
TCP,30247,80,1
TCP,43034,80,1
TCP,2632,80,1
TCP,4238,80,1
TCP,4648,80,1
TCP,1370,80,1
TCP,53763,80,1
TCP,8289,80,1
TCP,30242,80,1
TCP,4447,80,1
TCP,3655,80,2
TCP,61793,80,1
TCP,2245,80,2
TCP,50162,80,1
TCP,45217,80,1
TCP,64233,80,1
TCP,37559,80,1
TCP,4632,80,1
TCP,17873,80,1
TCP,43365,80,1
TCP,50366,80,1
TCP,48655,80,1
TCP,24929,80,1
TCP,52723,80,1
TCP,2432,80,2
TCP,4179,80,1
TCP,1378,80,3
TCP,3029,80,1
TCP,11119,80,1
TCP,5211,80,1
TCP,2183,80,1
TCP,3329,80,1
TCP,51932,80,1
TCP,28535,80,1
TCP,44862,80,1
TCP,29140,80,1
TCP,22401,80,1
TCP,15294,80,1
TCP,6983,80,1
TCP,12158,80,1
TCP,7502,80,1
TCP,10901,80,1
TCP,60679,80,1
TCP,49405,80,1
TCP,16485,80,1
TCP,60350,80,1
TCP,33953,80,1
TCP,36856,80,1
TCP,48659,80,1
TCP,2715,80,1
TCP,1250,80,1
TCP,2722,80,1
TCP,58028,80,1
TCP,2621,80,1
TCP,1793,80,1
TCP,1958,80,1
TCP,52367,80,1
TCP,2100,80,1
TCP,29560,80,1
TCP,49334,80,1
TCP,18972,80,1
TCP,26423,80,1
TCP,53072,80,1
TCP,17446,80,2
TCP,3438,80,1
TCP,2690,80,5
TCP,50073,80,1
TCP,53710,80,1
TCP,27956,80,1
TCP,3931,80,1
TCP,26689,80,1
TCP,60723,80,1
TCP,53001,80,1
TCP,5901,80,1
TCP,50463,80,1
TCP,51806,80,1
TCP,2562,80,1
TCP,54632,80,1
TCP,14495,80,1
TCP,2787,80,1
TCP,34518,80,1
TCP,38623,80,1
TCP,18756,80,1
TCP,49653,80,1
TCP,17288,80,1
TCP,1642,80,6
TCP,51503,80,1
TCP,49532,80,2
TCP,22547,80,1
TCP,24687,80,1
TCP,13518,80,1
TCP,50908,80,1
TCP,62034,80,1
TCP,52973,80,1
TCP,13825,80,1
TCP,52160,80,1
TCP,7873,80,1
TCP,1622,80,1
TCP,51400,80,1
TCP,12436,80,1
TCP,14157,80,1
TCP,13702,80,2
TCP,1754,80,3
TCP,52448,80,2
TCP,24723,80,1
TCP,1767,80,1
TCP,50208,80,1
TCP,54794,80,1
TCP,1501,80,3
TCP,2829,80,1
TCP,19130,80,1
TCP,52889,80,2
TCP,1820,80,1
TCP,38146,80,1
TCP,2846,80,1
TCP,49427,80,1
TCP,31841,80,1
TCP,4608,80,1
TCP,30406,80,1
TCP,1507,80,1
TCP,61631,80,1
TCP,8929,80,1
TCP,1618,80,3
TCP,3404,80,1
TCP,59809,80,1
TCP,42656,80,1
TCP,21952,80,1
TCP,50373,80,2
TCP,2122,80,2
TCP,46547,80,1
TCP,31039,80,1
TCP,2510,80,1
TCP,29294,80,1
TCP,29569,80,1
TCP,58747,80,1
TCP,18681,80,1
TCP,2211,80,2
TCP,39329,80,1
TCP,53881,80,1
TCP,2641,80,1
TCP,61885,80,1
TCP,25089,80,1
TCP,13230,80,1
TCP,30664,80,1
TCP,63425,80,1
TCP,6223,80,1
TCP,20362,80,1
TCP,3123,80,2
TCP,4230,80,1
TCP,3462,80,1
TCP,14100,80,1
TCP,24771,80,1
TCP,3100,80,1
TCP,7898,80,1
TCP,4080,80,1
TCP,11810,80,1
TCP,5021,80,1
TCP,27218,80,1
TCP,1838,80,2
TCP,10664,80,1
TCP,2160,80,1
TCP,54161,80,1
TCP,2667,80,1
TCP,50032,80,2
TCP,29057,80,2
TCP,34759,80,1
TCP,50813,80,1
TCP,34616,80,1
TCP,3191,80,2
TCP,63946,80,1
TCP,49515,80,1
TCP,1256,80,5
TCP,45900,80,1
TCP,21569,80,2
TCP,1320,80,3
TCP,49147,80,1
TCP,3281,80,1
TCP,16648,80,1
TCP,4901,80,1
TCP,10686,80,1
TCP,5287,80,1
TCP,60953,80,1
TCP,63396,80,1
TCP,57372,80,1
TCP,50262,80,1
TCP,43708,80,1
TCP,5508,80,1
TCP,59409,80,1
TCP,50062,80,1
TCP,2832,80,2
TCP,61734,80,1
TCP,49908,80,1
TCP,2856,80,1
TCP,57297,80,1
TCP,4619,80,1
TCP,2755,80,1
TCP,2815,80,2
TCP,50114,80,1
TCP,4653,80,1
TCP,35169,80,1
TCP,50754,80,1
TCP,51449,80,1
TCP,18349,80,2
TCP,3475,80,1
TCP,57898,80,1
TCP,47689,80,1
TCP,1474,80,1
TCP,2661,80,2
TCP,59663,80,1
TCP,51125,80,1
TCP,63798,80,1
TCP,5860,80,1
TCP,2603,80,4
TCP,50863,80,1
TCP,64677,80,1
TCP,12196,80,1
TCP,2988,80,1
TCP,59638,80,1
TCP,3375,80,1
TCP,4510,80,2
TCP,37949,80,1
TCP,1284,80,1
TCP,51750,80,1
TCP,30850,80,2
TCP,40911,80,1
TCP,3941,80,2
TCP,2389,80,1
TCP,9367,80,1
TCP,30559,80,1
TCP,7714,80,1
TCP,3302,80,1
TCP,3199,80,1
TCP,1690,80,2
TCP,30301,80,1
TCP,2719,80,2
TCP,2308,80,1
TCP,52391,80,2
TCP,2466,80,1
TCP,39876,80,1
TCP,31946,80,1
TCP,50484,80,1
TCP,4393,80,1
TCP,64209,80,1
TCP,49840,80,1
TCP,1623,80,1
TCP,28019,80,1
TCP,2741,80,3
TCP,48368,80,1
TCP,50045,80,1
TCP,1517,80,2
TCP,63650,80,1
TCP,48737,80,1
TCP,24481,80,1
TCP,4337,80,1
TCP,63766,80,1
TCP,49457,80,1
TCP,14518,80,1
TCP,49363,80,1
TCP,1376,80,1
TCP,52815,80,2
TCP,19582,80,1
TCP,5467,80,1
TCP,2462,80,2
TCP,20383,80,1
TCP,3233,80,2
TCP,51809,80,1
TCP,3454,80,1
TCP,57976,80,1
TCP,55017,80,1
TCP,1435,80,1
TCP,1714,80,1
TCP,32798,80,1
TCP,22659,80,1
TCP,3117,80,1
TCP,32513,80,1
TCP,57998,80,1
TCP,48329,80,1
TCP,18334,80,1
TCP,42289,80,1
TCP,44847,80,1
TCP,57572,80,1
TCP,14369,80,2
TCP,51349,80,1
TCP,51553,80,1
TCP,1744,80,1
TCP,16322,80,1
TCP,25121,80,1
TCP,24029,80,1
TCP,50255,80,2
TCP,1266,80,1
TCP,8353,80,1
TCP,4599,80,1
TCP,36597,80,1
TCP,61092,80,1
TCP,5512,80,1
TCP,50565,80,1
TCP,60944,80,1
TCP,8134,80,1
TCP,15925,80,1
TCP,4414,80,1
TCP,49596,80,1
TCP,11847,80,1
TCP,2587,80,1
TCP,1897,80,1
TCP,13869,80,1
TCP,2647,80,2
TCP,3019,80,1
TCP,2362,80,2
TCP,6758,80,1
TCP,2143,80,1
TCP,60097,80,1
TCP,1513,80,3
TCP,46322,80,1
TCP,2677,80,1
TCP,54175,80,1
TCP,29429,80,1
TCP,31970,80,1
TCP,34433,80,3
TCP,1652,80,3
TCP,8848,80,1
TCP,34143,80,1
TCP,27777,80,1
TCP,12675,80,1
TCP,48696,80,1
TCP,7622,80,1
TCP,3758,80,1
TCP,57684,80,1
TCP,41783,80,1
TCP,61192,80,1
TCP,27107,80,1
TCP,53232,80,1
TCP,27033,80,1
TCP,60106,80,1
TCP,61908,80,1
TCP,18566,80,1
TCP,55434,80,1
TCP,21131,80,1
TCP,1321,80,1
TCP,1591,80,2
TCP,34497,80,1
TCP,58048,80,1
TCP,16464,80,1
TCP,24567,80,1
TCP,12545,80,1
